date,daily_revenue,daily_quantity,daily_orders
2010-12-01,58776.79,26818,127
2010-12-02,47629.42,31264,142
2010-12-03,46898.63,16158,68
2010-12-05,31364.63,16242,88
2010-12-06,54624.15,21619,102
2010-12-07,99553.85,25180,84
2010-12-08,45235.36,23041,116
2010-12-09,53548.19,19898,107
2010-12-10,59021.02,20973,77
2010-12-12,17125.65,10537,44
2010-12-13,37942.37,17701,70
2010-12-14,45167.56,20255,90
2010-12-15,30384.37,18453,74
2010-12-16,49114.14,29860,121
2010-12-17,45338.13,16935,66
2010-12-19,7410.47,3734,23
2010-12-20,26766.23,14914,61
2010-12-21,47279.89,15605,55
2010-12-22,6199.97,3080,17
2010-12-23,12071.91,5752,27
2011-01-04,16005.73,8630,36
2011-01-05,32630.27,19769,55
2011-01-06,40366.45,23124,50
2011-01-07,28836.59,17160,53
2011-01-09,15590.68,8125,48
2011-01-10,24553.07,12861,39
2011-01-11,68630.54,28437,58
2011-01-12,24664.58,10606,45
2011-01-13,20612.79,10171,44
2011-01-14,47554.58,23139,47
2011-01-16,6976.39,4086,25
2011-01-17,29262.72,13375,51
2011-01-18,95947.73000000001,82964,41
2011-01-19,25874.57,17354,35
2011-01-20,21199.34,10475,39
2011-01-21,32636.55,15302,39
2011-01-23,10306.1,5200,27
2011-01-24,25494.49,11955,53
2011-01-25,28952.55,15538,67
2011-01-26,19855.920000000002,10931,56
2011-01-27,23624.3,11266,52
2011-01-28,20064.35,9842,40
2011-01-30,6542.61,3383,24
2011-01-31,23628.71,13406,62
2011-02-01,29013.29,15814,63
2011-02-02,21162.12,9706,63
2011-02-03,23467.73,15712,46
2011-02-04,25135.84,12695,52
2011-02-06,3439.67,2036,11
2011-02-07,25922.97,9128,42
2011-02-08,20935.23,10100,45
2011-02-09,16682.63,7164,29
2011-02-10,14853.31,11876,41
2011-02-11,22853.6,10520,45
2011-02-13,5645.4800000000005,2723,20
2011-02-14,26668.91,13567,42
2011-02-15,39841.71,22669,58
2011-02-16,24863.85,16117,63
2011-02-17,26357.52,14413,68
2011-02-18,16184.42,9149,39
2011-02-20,9437.8,5218,26
2011-02-21,36311.4,21533,38
2011-02-22,32454.5,21893,52
2011-02-23,26859.5,13742,63
2011-02-24,22800.89,11891,55
2011-02-25,20595.19,10572,49
2011-02-27,9382.710000000001,4823,33
2011-02-28,21675.29,9873,57
2011-03-01,26344.68,12137,62
2011-03-02,18669.94,8612,43
2011-03-03,36367.14,20075,49
2011-03-04,19486.88,13560,49
2011-03-06,9959.62,5027,27
2011-03-07,32318.72,14006,68
2011-03-08,25035.12,14537,48
2011-03-09,22013.2,11861,53
2011-03-10,26118.27,15583,57
2011-03-11,25473.93,10521,53
2011-03-13,4117.22,2733,16
2011-03-14,25876.63,16737,50
2011-03-15,23453.34,8941,52
2011-03-16,21842.81,12883,52
2011-03-17,39852.51,20975,62
2011-03-18,28107.65,13938,64
2011-03-20,21949.68,14038,60
2011-03-21,16679.47,10292,53
2011-03-22,31468.23,16548,53
2011-03-23,24078.89,14374,63
2011-03-24,36496.79,18164,68
2011-03-25,31362.56,14083,56
2011-03-27,9206.72,4496,32
2011-03-28,23133.23,12222,61
2011-03-29,70711.92,32803,62
2011-03-30,31821.71,20621,75
2011-03-31,34268.4,16832,66
2011-04-01,25565.64,18459,75
2011-04-03,6897.18,5658,20
2011-04-04,33234.48,14004,59
2011-04-05,30052.82,15558,52
2011-04-06,17338.36,9156,40
2011-04-07,18465.44,10508,64
2011-04-08,25240.59,12985,71
2011-04-10,9879.75,5603,32
2011-04-11,22345.93,13632,64
2011-04-12,25534.94,15311,62
2011-04-13,24450.27,18752,60
2011-04-14,36084.1,18858,86
2011-04-15,28311.821,12717,56
2011-04-17,12630.34,8136,42
2011-04-18,55983.99,29825,69
2011-04-19,24296.85,14461,59
2011-04-20,28667.32,18371,63
2011-04-21,32582.2,18210,77
2011-04-26,30999.88,16135,71
2011-04-27,25916.15,18218,65
2011-04-28,22490.44,13396,59
2011-05-01,6958.11,3814,18
2011-05-03,35196.21,12454,66
2011-05-04,27521.96,17363,65
2011-05-05,29133.41,17436,89
2011-05-06,36122.98,19945,82
2011-05-08,18731.98,10621,63
2011-05-09,27883.46,13354,71
2011-05-10,47756.53,19784,96
2011-05-11,33647.85,18894,80
2011-05-12,61829.27,37774,86
2011-05-13,30679.84,15217,73
2011-05-15,9911.380000000001,4895,31
2011-05-16,39651.28,16019,68
2011-05-17,55106.99,26769,82
2011-05-18,34376.26,19013,73
2011-05-19,35567.71,18124,99
2011-05-20,26579.95,15348,71
2011-05-22,24102.0,12645,61
2011-05-23,34610.64,18169,68
2011-05-24,37658.39,15936,68
2011-05-25,24393.9,13163,65
2011-05-26,33497.03,16264,64
2011-05-27,28387.93,16209,64
2011-05-29,7338.94,4067,24
2011-05-31,22652.61,11724,54
2011-06-01,20585.19,10965,42
2011-06-02,32800.49,14586,52
2011-06-03,16895.1,7679,44
2011-06-05,25423.760000000002,13397,67
2011-06-06,17767.12,9459,57
2011-06-07,37857.31,18731,78
2011-06-08,43194.43,21260,99
2011-06-09,46341.52,28265,85
2011-06-10,62234.439999999995,10669,50
2011-06-12,12441.94,9457,39
2011-06-13,22434.760000000002,11291,59
2011-06-14,40447.53,14602,57
2011-06-15,48974.63,30381,59
2011-06-16,34529.01,20272,83
2011-06-17,21070.47,11753,52
2011-06-19,22421.48,15069,60
2011-06-20,37489.24,16599,74
2011-06-21,24752.87,14183,55
2011-06-22,21799.32,15818,60
2011-06-23,25155.63,14670,72
2011-06-24,19516.29,9981,51
2011-06-26,7032.36,3760,26
2011-06-27,16985.31,9898,45
2011-06-28,35545.83,21747,55
2011-06-29,22087.47,12070,42
2011-06-30,44763.51,21949,70
2011-07-01,13632.210000000001,7641,49
2011-07-03,5972.7300000000005,3091,25
2011-07-04,44609.03,15698,52
2011-07-05,40754.68,22092,73
2011-07-06,26361.28,19165,70
2011-07-07,32412.43,19141,76
2011-07-08,27057.35,12707,65
2011-07-10,5959.54,4204,24
2011-07-11,22529.66,15106,52
2011-07-12,26252.85,13954,53
2011-07-13,22620.61,16267,59
2011-07-14,33560.26,17524,71
2011-07-15,14793.83,7310,42
2011-07-17,17154.26,11019,51
2011-07-18,38814.88,15098,65
2011-07-19,50166.76,29168,68
2011-07-20,33252.33,17676,58
2011-07-21,32695.77,19907,76
2011-07-22,20119.97,10270,43
2011-07-24,27080.46,17661,58
2011-07-25,26876.39,16095,59
2011-07-26,21635.561,13709,53
2011-07-27,25593.74,13962,48
2011-07-28,56243.32,30256,80
2011-07-29,18716.54,11559,64
2011-07-31,33209.68,19413,42
2011-08-01,21358.64,11669,40
2011-08-02,26575.55,15718,44
2011-08-03,28068.2,16499,64
2011-08-04,65496.79,41143,82
2011-08-05,21417.13,12750,55
2011-08-07,7543.86,5175,30
2011-08-08,23363.01,13336,40
2011-08-09,27672.24,16258,42
2011-08-10,28780.05,14414,49
2011-08-11,72372.89,39228,69
2011-08-12,32231.35,11978,51
2011-08-14,5701.87,3172,25
2011-08-15,17235.95,10173,48
2011-08-16,19234.53,11184,53
2011-08-17,53284.76,25649,55
2011-08-18,54059.1,34028,69
2011-08-19,17336.07,10664,56
2011-08-21,14420.27,8081,39
2011-08-22,29645.54,15542,65
2011-08-23,25978.59,15172,64
2011-08-24,48789.72,29360,76
2011-08-25,23773.43,13316,74
2011-08-26,25610.29,17125,47
2011-08-28,10686.56,6701,37
2011-08-30,31837.77,10236,41
2011-08-31,25367.22,12449,47
2011-09-01,37358.62,27850,76
2011-09-02,42226.28,18433,74
2011-09-04,17040.74,10920,50
2011-09-05,36898.35,22742,68
2011-09-06,28321.06,15070,64
2011-09-07,34413.53,16390,52
2011-09-08,27055.88,17404,76
2011-09-09,30016.33,17358,62
2011-09-11,35206.92,20906,75
2011-09-12,29526.29,16824,68
2011-09-13,55071.3,36519,67
2011-09-14,23578.78,14186,68
2011-09-15,78151.97,29281,83
2011-09-16,27720.27,15051,50
2011-09-18,15639.55,8937,27
2011-09-19,49250.87,29248,71
2011-09-20,109553.9,43683,70
2011-09-21,48529.72,22312,75
2011-09-22,59220.41,33144,112
2011-09-23,40574.4,21872,64
2011-09-25,31164.781,19424,75
2011-09-26,29270.841,15249,66
2011-09-27,36260.91,21231,80
2011-09-28,43693.08,25530,85
2011-09-29,46343.35,27456,105
2011-09-30,44347.06,22553,74
2011-10-02,11531.56,8332,35
2011-10-03,66243.94,25942,68
2011-10-04,48652.54,25284,81
2011-10-05,75460.77,46222,96
2011-10-06,62761.92,35367,122
2011-10-07,53692.5,30914,88
2011-10-09,12273.1,7285,39
2011-10-10,48121.66,26121,100
2011-10-11,52537.31,28477,82
2011-10-12,32083.11,17639,88
2011-10-13,37232.47,18681,77
2011-10-14,36294.58,18134,74
2011-10-16,21767.94,8649,35
2011-10-17,51925.61,31319,89
2011-10-18,45277.92,29285,84
2011-10-19,42467.72,19178,85
2011-10-20,60969.14,40855,89
2011-10-21,63173.39,24779,64
2011-10-23,12156.57,6953,42
2011-10-24,48335.52,25922,78
2011-10-25,41192.55,26818,77
2011-10-26,37729.47,20617,95
2011-10-27,57201.78,32761,106
2011-10-28,40455.26,23998,78
2011-10-30,34397.95,19943,96
2011-10-31,57327.45,21554,72
2011-11-01,29091.9,16546,77
2011-11-02,45690.08,28488,85
2011-11-03,63425.47,34314,103
2011-11-04,62594.590000000004,35144,94
2011-11-06,42513.590000000004,23089,102
2011-11-07,85705.3,31299,93
2011-11-08,57557.03,26366,108
2011-11-09,65879.97,38139,119
2011-11-10,70868.0,38079,129
2011-11-11,55107.87,28967,105
2011-11-13,33878.15,20686,87
2011-11-14,114237.40000000001,47236,107
2011-11-15,60613.8,30318,108
2011-11-16,65672.53,32955,130
2011-11-17,60901.32,31596,137
2011-11-18,51130.39,23921,108
2011-11-20,34509.21,19107,100
2011-11-21,49674.6,25705,100
2011-11-22,63863.48,35367,135
2011-11-23,79847.0,39295,131
2011-11-24,50759.21,26396,113
2011-11-25,50690.4,18923,83
2011-11-27,20279.37,10942,57
2011-11-28,56965.73,29334,115
2011-11-29,72384.82,30809,135
2011-11-30,60025.57,28356,108
2011-12-01,52068.63,27004,121
2011-12-02,57476.48,28690,120
2011-12-04,24477.47,12296,66
2011-12-05,88620.84,44497,127
2011-12-06,56558.83,30377,115
2011-12-07,75315.55,41789,106
2011-12-08,82371.55,35010,120
2011-12-09,200900.97999999998,93949,44
